GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000099401	6.7820106684311	-0.0758336036211662	0.0603347486673047	-1.34992060249311	0.177041452312419	NA
ENSMUSG00000140164	5.35980604586194	0.0408286610878981	0.0530038089336644	0.751756548276155	0.452197476977682	NA
ENSMUSG00000121351	2.39338499731699	0.0276566508328679	0.0361756543426066	0.742944185416703	0.457515472971189	NA
ENSMUSG00000140281	2.46852167880461	0.0127265724917984	0.0374395447938929	0.330844547331861	0.740761910004759	NA
ENSMUSG00000140307	2.27828293635039	-0.0311838473466398	0.0364938601673645	-0.942949701329344	0.34570663109336	NA
ENSMUSG00000140411	3.11726719794162	-0.0199623693895045	0.0371343138463579	-0.572632973925639	0.566893228603319	NA
ENSMUSG00000102762	6.78129870690112	-0.00397283680780581	0.060721278854361	-0.0655960163677301	0.947699460762471	NA
ENSMUSG00000098447	9.73343037974222	-0.000436086244311557	0.0694027700297786	-0.00627396215731023	0.994994135300285	NA
ENSMUSG00000140686	4.38937827859282	-0.00659928732810024	0.0509298938767974	-0.13065347210915	0.896049440608716	NA
ENSMUSG00000140704	5.96204645655814	-0.0439454572188128	0.0563108859624534	-0.815426779302548	0.414828060829616	NA
ENSMUSG00000140800	3.0958499562999	0.0106392600331846	0.0414148023398725	0.252308917234388	0.800802296104564	NA
ENSMUSG00000140940	9.73060698345845	0.0010502113894484	0.067902478406856	0.0154719921139196	0.98765562887389	NA
ENSMUSG00000121026	6.48276519292121	0.0555196104160346	0.0608320334711638	0.89535578482674	0.370596928504944	NA
ENSMUSG00000099503	4.90237657137292	-0.0208671469831993	0.053862511182207	-0.39483848902336	0.692962087781164	NA
ENSMUSG00000141181	3.5572623645178	-0.0129729418086915	0.0464890161931757	-0.283641588847648	0.776685062162931	NA
ENSMUSG00000101895	4.54066788568653	-0.0234057551699657	0.0514496656822412	-0.467319141659289	0.640271563429032	NA
ENSMUSG00000141285	2.36748833215707	-0.0085079903905249	0.0369138181543558	-0.234527723074674	0.814575313346995	NA
ENSMUSG00000141317	3.46329930697363	0.0126349208370213	0.0440369031180761	0.281223651079535	0.778538865424236	NA
ENSMUSG00000141319	7.16205031181076	-0.00143405184116698	0.0627913627775626	-0.022787909824463	0.981819452084298	NA
ENSMUSG00000141506	5.06750311106218	0.000349370285851862	0.0548979625803558	0.00634864465775486	0.994934548472991	NA
ENSMUSG00000141541	4.59733518334743	-0.019887257604901	0.0476623752927954	-0.430885154254654	0.66655187851436	NA
ENSMUSG00000141830	2.35364166517518	-0.0220324960103321	0.0390657371835129	-0.592887980893085	0.553256122163806	NA
ENSMUSG00000103603	6.16317491077019	0.0838238339399291	0.0573628632061752	1.43394403313621	0.151588234744541	NA
ENSMUSG00000101102	8.64123138182249	-0.0462134501884676	0.0679557140860075	-0.69923039952752	0.484408055431539	NA
ENSMUSG00000141893	3.38500309169749	0.0295722131499375	0.0451478698243271	0.63931819381786	0.522615954997239	NA
ENSMUSG00000141958	2.20483635244943	-0.0310718582065061	0.0373834266794275	-0.909421345612306	0.363127758612888	NA
ENSMUSG00000104077	9.18235186468389	0.022493472316959	0.0682477100035017	0.325848267493747	0.744539157773289	NA
ENSMUSG00000085125	6.19196841643274	-0.072800146384272	0.0575959172371662	-1.37037454818694	0.170570012904871	NA
ENSMUSG00000142121	3.29006189809665	-0.00674960467453295	0.0450398637475727	-0.15069392362002	0.880217166744852	NA
ENSMUSG00000089982	2.04789805000606	0.0250774321503836	0.0345863052304905	0.709668765769475	0.47790956549105	NA
ENSMUSG00000101634	2.86831545396241	-0.00849544459779127	0.0418764085828376	-0.204982472828062	0.837585818922701	NA
ENSMUSG00000142682	2.71306724910569	0.0326233645713542	0.0403528540837175	0.781423958871236	0.434553184231324	NA
ENSMUSG00000142975	3.64320652251192	-0.000940717411646111	0.0473335519044655	-0.0199541968460911	0.984079910903864	NA
ENSMUSG00000121071	3.1267028240522	0.0362829562525461	0.0437536260689784	0.803610053957492	0.421622214843298	NA
ENSMUSG00000143048	2.00814498347789	0.00156614193043664	0.0361822150950474	0.043266291657163	0.965489261408677	NA
ENSMUSG00000143052	2.06333797774374	-0.000344922253480915	0.0339116621053156	-0.0102204721582672	0.991845385030248	NA
ENSMUSG00000143188	8.03472322358161	-0.00957977471277349	0.0668899359252325	-0.143713329145695	0.885726845330604	NA
ENSMUSG00000143464	3.2629032424925	0.00760779631045192	0.0433918501136531	0.174251888937336	0.861667507773791	NA
ENSMUSG00000087213	3.4928030818372	0.0410994464474612	0.0454357376968457	0.8866297988768	0.375278245035751	NA
ENSMUSG00000143912	3.531341363392	0.0138248472111039	0.0452031967041215	0.300949111732318	0.763453299488289	NA
ENSMUSG00000085184	5.97102402339216	0.0299980344982043	0.0593389846196734	0.497853781654343	0.618587105558346	NA
ENSMUSG00000101172	8.63321248227244	-0.00995908521354744	0.0686148075425611	-0.146066545432784	0.883868855996711	NA
ENSMUSG00000102459	2.12485490677981	-0.0107447843374672	0.032014588982657	-0.352415027477936	0.724527033683969	NA
ENSMUSG00000136369	6.28620813186503	0.0269885249727935	0.0556212808777055	0.473797850104504	0.635644067835779	NA
ENSMUSG00000126666	6.27481315535977	0.0574022937987229	0.058983780354697	0.953118541803775	0.340530012548178	NA
ENSMUSG00000101224	7.87013136225199	0.00544974116506156	0.0618915662773102	0.087876149678417	0.929975113054721	NA
ENSMUSG00000102219	4.55990934576467	0.00876565451659942	0.0471540950164166	0.18289145237537	0.854883189795436	NA
ENSMUSG00000131934	2.75432160675197	-0.0182808756411598	0.0415395904335506	-0.455630834701981	0.648655466125033	NA
ENSMUSG00000100120	6.70087941970273	-0.00146346487587772	0.0605900508379914	-0.0241608840737726	0.980724279002054	NA
ENSMUSG00000129840	5.45546406818594	-0.00738267474195411	0.0559184056932444	-0.133167298761042	0.894061072277341	NA
ENSMUSG00000040323	8.0544455004435	-0.0196706354285697	0.0656681227108445	-0.303564294844238	0.761459857175382	NA
ENSMUSG00000139292	2.38528872970879	-0.0092427259109835	0.0395743693435899	-0.237670491319173	0.812136672430692	NA
